
> lifehub@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.101.48:3000
- Environments: .env.local

✓ Starting...
 GET /dashboard 200 in 627ms (compile: 129ms, proxy.ts: 244ms, render: 254ms)
 GET /dashboard 200 in 574ms (compile: 7ms, proxy.ts: 240ms, render: 327ms)
 GET /dashboard 200 in 635ms (compile: 4ms, proxy.ts: 285ms, render: 346ms)
 GET /dashboard 200 in 571ms (compile: 5ms, proxy.ts: 304ms, render: 262ms)
 GET /dashboard 200 in 526ms (compile: 5ms, proxy.ts: 220ms, render: 301ms)
 GET /dashboard 200 in 539ms (compile: 4ms, proxy.ts: 255ms, render: 281ms)
 GET /dashboard 200 in 528ms (compile: 4ms, proxy.ts: 210ms, render: 314ms)
 GET /dashboard 200 in 524ms (compile: 6ms, proxy.ts: 263ms, render: 256ms)
 GET /dashboard 200 in 584ms (compile: 2ms, proxy.ts: 206ms, render: 376ms)
 GET /dashboard 200 in 555ms (compile: 51ms, proxy.ts: 260ms, render: 245ms)
 GET /dashboard 200 in 507ms (compile: 1594µs, proxy.ts: 242ms, render: 264ms)
 GET /dashboard 200 in 454ms (compile: 4ms, proxy.ts: 214ms, render: 236ms)
 GET /dashboard 200 in 490ms (compile: 1823µs, proxy.ts: 221ms, render: 267ms)
 GET /dashboard 200 in 498ms (compile: 5ms, proxy.ts: 222ms, render: 271ms)
 GET /dashboard 200 in 538ms (compile: 5ms, proxy.ts: 219ms, render: 314ms)
 GET /dashboard 200 in 542ms (compile: 5ms, proxy.ts: 246ms, render: 291ms)
 GET /dashboard 200 in 510ms (compile: 3ms, proxy.ts: 216ms, render: 290ms)
✓ Compiled in 185ms
 GET /dashboard 200 in 643ms (compile: 4ms, proxy.ts: 230ms, render: 410ms)
 GET /dashboard 200 in 611ms (compile: 73ms, proxy.ts: 243ms, render: 295ms)
 GET /dashboard 200 in 659ms (compile: 1625µs, proxy.ts: 306ms, render: 351ms)
 GET /dashboard 200 in 571ms (compile: 8ms, proxy.ts: 303ms, render: 260ms)
 GET /dashboard 200 in 529ms (compile: 5ms, proxy.ts: 213ms, render: 311ms)
 GET /dashboard 200 in 558ms (compile: 5ms, proxy.ts: 263ms, render: 291ms)
 GET /dashboard 200 in 485ms (compile: 5ms, proxy.ts: 221ms, render: 259ms)
 GET /dashboard 200 in 453ms (compile: 2ms, proxy.ts: 227ms, render: 224ms)
✓ Compiled in 88ms
 GET /dashboard 200 in 620ms (compile: 3ms, proxy.ts: 219ms, render: 398ms)
 GET /dashboard 200 in 813ms (compile: 94ms, proxy.ts: 356ms, render: 363ms)
 GET /dashboard 200 in 566ms (compile: 3ms, proxy.ts: 291ms, render: 273ms)
 GET /dashboard 200 in 518ms (compile: 7ms, proxy.ts: 216ms, render: 294ms)
 GET /dashboard 200 in 504ms (compile: 2ms, proxy.ts: 247ms, render: 255ms)
 GET /dashboard 200 in 537ms (compile: 6ms, proxy.ts: 214ms, render: 318ms)
 GET /dashboard 200 in 516ms (compile: 5ms, proxy.ts: 274ms, render: 237ms)
 GET /dashboard 200 in 597ms (compile: 3ms, proxy.ts: 223ms, render: 371ms)
 GET /dashboard 200 in 554ms (compile: 51ms, proxy.ts: 231ms, render: 272ms)
 GET /dashboard 200 in 499ms (compile: 1578µs, proxy.ts: 242ms, render: 255ms)
 GET /dashboard 200 in 485ms (compile: 3ms, proxy.ts: 214ms, render: 268ms)
 GET /dashboard 200 in 489ms (compile: 6ms, proxy.ts: 219ms, render: 263ms)
 GET /dashboard 200 in 447ms (compile: 8ms, proxy.ts: 215ms, render: 224ms)
 GET /dashboard 200 in 517ms (compile: 4ms, proxy.ts: 211ms, render: 302ms)
 GET /dashboard 200 in 515ms (compile: 6ms, proxy.ts: 250ms, render: 258ms)
 GET /dashboard 200 in 528ms (compile: 1544µs, proxy.ts: 210ms, render: 317ms)
